district,election_year,total_pop,male_pop_percent,female_pop_percent,under_5_percent,5_to_9_percent,10_to_14_percent,15_to_19_percent,20_to_24_percent,25_to_34_percent,35_to_44_percent,45_to_54_percent,55_to_59_percent,60_to_64_percent,65_to_74_percent,75_to_84_percent,over_85_percent,median_age,18_and_over_percent,21_and_over_percent,62_and_over_percent,65_and_over_percent,18_and_over_male_percent,18_and_over_female_percent,65_and_over_male_percent,65_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units
NY18,2016,720115,49.9,50.1,5.7,6.4,7.2,7.6,7.3,10.7,12.4,15.6,7.2,5.8,8.2,4.2,1.8,39.6,76.3,71.4,17.4,14.2,49.4,50.6,44.4,55.6,69.2,9.0,0.2,3.0,0.0,0.2,16.5,273831
NY19,2016,708116,49.7,50.3,4.5,5.1,5.7,6.9,7.1,10.9,10.8,15.7,8.0,7.2,10.5,5.3,2.2,44.3,80.9,76.1,22.3,18.0,49.8,50.2,46.5,53.5,85.2,4.1,0.0,1.7,0.0,0.2,6.9,362881
NY20,2016,727913,48.6,51.4,5.3,5.4,6.2,7.1,8.4,12.8,12.0,13.8,7.2,6.4,8.5,4.5,2.3,39.1,79.7,74.2,19.4,15.3,47.9,52.1,42.0,58.0,77.7,8.4,0.1,4.7,0.0,0.4,6.1,325554
NY21,2016,713276,51.3,48.7,5.6,5.7,5.6,6.8,7.9,12.6,11.6,14.5,6.8,6.8,9.0,4.9,2.1,40.3,79.3,74.5,20.1,16.0,51.3,48.7,45.0,55.0,89.9,2.9,0.9,1.0,0.0,0.1,3.4,368555
NY22,2016,709851,49.3,50.7,5.2,5.5,6.0,7.5,8.1,11.4,10.9,14.4,7.3,6.6,9.3,5.2,2.6,41.4,79.5,74.1,20.9,17.1,49.0,51.0,44.4,55.6,88.1,3.6,0.4,2.7,0.0,0.1,3.5,320683
NY23,2016,715663,49.8,50.2,5.4,5.5,5.9,7.8,8.7,11.8,10.5,13.5,7.5,6.5,9.3,4.9,2.5,40.0,79.6,72.8,20.4,16.8,49.2,50.8,44.8,55.2,88.6,2.7,0.6,2.3,0.0,0.1,3.7,340391
NY24,2016,715188,48.9,51.1,5.7,5.7,6.4,7.3,7.3,12.6,11.3,14.5,7.3,6.3,8.6,4.4,2.5,39.4,78.3,73.0,19.3,15.5,48.3,51.7,43.8,56.2,82.3,8.2,0.4,2.6,0.0,0.1,4.1,313716
NY25,2016,721227,48.2,51.8,5.8,6.0,5.9,7.0,7.6,13.8,11.4,13.9,6.8,6.3,8.6,4.4,2.6,38.8,78.5,73.7,19.4,15.6,47.4,52.6,42.4,57.6,70.9,15.0,0.1,3.4,0.0,0.2,8.1,312169
NY26,2016,717332,48.3,51.7,5.8,5.6,5.3,6.5,8.0,14.8,10.9,13.0,7.1,6.3,8.8,5.1,2.8,38.9,79.8,75.4,20.2,16.7,47.4,52.6,41.6,58.4,69.9,17.6,0.4,4.1,0.0,0.3,5.8,344704
NY27,2016,716757,49.3,50.7,4.4,5.4,6.9,6.9,6.1,10.8,11.6,16.1,8.1,7.1,9.4,5.0,2.3,43.7,79.1,75.1,20.9,16.6,49.2,50.8,44.1,55.9,91.3,2.8,0.6,0.9,0.0,0.0,3.0,305226
NC01,2016,742851,47.6,52.4,6.5,6.2,6.1,6.7,8.0,13.3,11.8,12.7,6.9,6.4,8.8,4.4,2.1,37.6,77.8,73.1,18.9,15.4,46.1,53.9,39.6,60.4,34.6,53.2,0.6,1.4,0.1,0.1,8.3,336393
NC02,2016,774723,49.7,50.3,7.0,7.4,7.3,6.2,6.6,13.6,13.6,13.7,6.2,4.9,8.1,3.7,1.6,36.4,74.4,70.7,16.4,13.4,48.8,51.2,42.7,57.3,65.0,16.5,0.8,4.0,0.1,0.1,10.9,322074
NC03,2016,759653,50.7,49.3,6.5,6.3,5.8,7.0,10.8,13.8,11.9,11.7,6.5,5.3,8.7,4.5,1.3,34.8,78.1,71.9,17.7,14.5,50.7,49.3,45.0,55.0,69.8,18.5,0.3,0.8,0.0,0.3,7.9,377057
NC04,2016,795798,48.7,51.3,6.1,6.2,6.2,7.7,9.6,17.0,14.4,12.1,5.6,4.5,6.3,3.2,1.2,33.1,78.0,71.5,13.1,10.6,47.8,52.2,43.0,57.0,49.4,29.2,0.4,5.8,0.1,0.3,11.9,342252
NC05,2016,750233,48.5,51.5,5.2,6.6,6.3,6.9,7.6,11.2,12.4,14.3,6.9,6.4,9.4,4.9,1.9,40.3,78.1,73.1,19.9,16.2,47.9,52.1,42.8,57.2,75.5,12.8,0.2,1.4,0.0,0.2,8.8,352324
NC06,2016,755280,48.0,52.0,5.2,5.9,6.4,6.5,6.2,11.2,12.8,14.7,7.9,6.6,9.4,5.0,2.2,42.1,78.6,74.5,20.4,16.7,47.5,52.5,43.3,56.7,72.9,15.5,0.2,2.5,0.1,0.3,7.2,334901
NC07,2016,772311,48.8,51.2,5.5,6.5,7.0,6.2,5.9,11.0,12.9,14.1,7.0,6.7,10.8,4.7,1.7,41.4,77.1,73.6,21.0,17.2,48.1,51.9,45.3,54.7,69.5,16.9,1.8,0.8,0.0,0.1,9.1,369467
NC08,2016,746671,49.3,50.7,6.2,7.0,7.1,6.8,6.1,12.4,13.4,13.8,6.7,5.6,9.0,4.5,1.5,39.0,75.6,71.4,18.1,14.9,48.5,51.5,44.1,55.9,61.5,19.1,6.9,1.3,0.0,0.1,9.3,313858
NC09,2016,805960,48.2,51.8,6.4,7.2,7.7,6.6,4.7,12.9,15.6,15.1,6.6,5.2,7.3,3.3,1.3,38.3,74.3,71.2,14.9,12.0,47.1,52.9,43.1,56.9,71.6,12.3,0.3,4.5,0.0,0.2,8.5,326055
NC10,2016,744808,48.2,51.8,5.5,6.0,6.5,6.3,6.1,11.4,12.9,14.3,7.1,6.5,10.0,5.1,2.0,41.9,78.3,74.4,20.9,17.2,47.6,52.4,43.6,56.4,78.8,11.8,0.2,1.4,0.0,0.3,5.9,336118
NC11,2016,744956,49.0,51.0,4.9,5.4,5.7,6.1,5.9,10.3,12.4,13.7,7.4,7.0,12.4,6.2,2.6,44.4,80.7,76.5,25.4,21.2,48.3,51.7,44.4,55.6,86.3,3.3,1.5,1.3,0.2,0.2,5.9,395432
NC12,2016,778251,48.0,52.0,7.3,7.0,6.6,7.2,9.4,16.9,13.6,12.7,5.7,4.2,5.8,2.7,1.0,32.2,75.4,70.1,11.8,9.5,47.4,52.6,40.7,59.3,28.5,50.7,0.2,4.1,0.0,0.4,13.7,328293
NC13,2016,772469,48.5,51.5,6.2,7.3,7.6,6.4,5.3,12.0,14.5,15.2,6.5,6.0,8.0,3.8,1.1,39.0,74.5,71.4,16.2,12.9,47.6,52.4,44.9,55.1,69.2,17.5,0.3,2.3,0.1,0.3,8.5,318240
ND01,2016,739482,50.9,49.1,6.8,6.7,5.7,6.9,9.2,14.6,11.1,12.3,6.8,5.8,7.3,4.5,2.3,35.1,77.3,72.6,17.5,14.2,51.0,49.0,45.2,54.8,86.8,2.0,5.3,1.2,0.0,0.0,2.8,350534
OH01,2016,729726,49.0,51.0,6.6,6.7,7.0,7.3,6.8,13.3,12.3,14.2,6.6,6.0,7.3,4.2,1.8,36.6,75.5,71.1,16.7,13.3,48.0,52.0,43.4,56.6,69.8,22.1,0.1,3.0,0.0,0.3,2.9,318883
OH02,2016,724587,48.7,51.3,6.1,6.6,6.3,5.6,6.2,13.4,12.6,13.9,7.1,6.8,8.6,4.7,2.0,39.4,77.1,74.3,19.3,15.3,48.2,51.8,42.7,57.3,86.0,8.5,0.1,1.3,0.1,0.3,2.0,325455
OH03,2016,755499,48.1,51.9,7.6,7.3,6.1,7.2,8.2,18.3,13.1,12.3,5.6,4.7,5.7,2.7,1.2,31.9,75.4,70.1,12.5,9.6,47.5,52.5,40.5,59.5,53.5,32.1,0.1,3.6,0.0,0.1,6.2,338665
OH04,2016,709882,50.1,49.9,5.8,6.6,6.1,6.6,6.3,11.6,12.3,13.9,7.8,6.5,9.0,5.1,2.3,40.9,77.5,73.6,19.9,16.4,49.5,50.5,43.8,56.2,88.0,5.1,0.2,0.9,0.0,0.1,3.1,308515
OH05,2016,730503,48.9,51.1,5.5,6.3,6.8,7.3,7.2,11.5,11.8,13.6,7.5,6.6,9.0,4.6,2.3,39.9,77.2,72.3,19.7,15.9,48.5,51.5,43.2,56.8,89.4,2.8,0.2,1.3,0.0,0.1,4.8,310674
OH06,2016,713457,49.8,50.2,5.3,6.0,6.0,6.5,5.7,11.2,12.0,13.9,8.1,7.1,10.2,5.4,2.4,43.1,78.5,74.9,22.1,18.1,49.3,50.7,44.5,55.5,94.7,2.4,0.1,0.5,0.0,0.0,0.9,322005
OH07,2016,725548,49.2,50.8,5.9,6.6,6.6,6.8,6.5,11.1,11.4,14.1,7.1,6.7,9.8,5.1,2.3,41.0,76.8,72.8,21.0,17.3,48.7,51.3,45.2,54.8,90.9,3.8,0.1,0.6,0.0,0.1,2.3,305686
OH08,2016,722889,49.1,50.9,6.2,6.5,6.9,7.1,7.1,11.6,12.1,13.7,7.5,5.8,8.8,4.7,2.0,38.8,76.1,71.6,18.7,15.4,48.3,51.7,44.2,55.8,86.5,6.1,0.2,1.8,0.1,0.1,3.3,301411
OH09,2016,709813,48.5,51.5,6.2,6.7,6.0,6.7,7.1,13.6,12.7,13.7,7.3,5.6,7.8,4.5,2.2,38.1,77.3,73.0,17.6,14.5,47.5,52.5,42.0,58.0,69.4,14.9,0.1,1.4,0.0,0.1,11.0,351035
OH10,2016,720794,48.5,51.5,6.1,5.9,6.4,6.7,7.3,13.0,11.4,13.5,7.0,6.4,9.0,5.4,2.0,39.4,77.9,73.3,20.2,16.4,47.5,52.5,42.8,57.2,75.3,17.0,0.2,2.2,0.0,0.2,2.6,334060
OH11,2016,699736,47.0,53.0,6.4,5.8,6.3,7.0,7.7,13.4,11.5,12.7,7.4,6.7,8.0,4.7,2.5,38.1,77.5,72.9,19.2,15.1,45.9,54.1,39.5,60.5,37.7,54.0,0.2,2.3,0.0,0.1,3.7,365350
OH12,2016,755978,49.8,50.2,6.4,7.3,6.8,6.5,5.9,12.6,14.1,14.1,7.1,5.9,7.9,3.7,1.8,38.3,75.4,71.6,17.0,13.4,49.2,50.8,44.3,55.7,87.0,3.9,0.1,3.4,0.1,0.1,2.3,307084
OH13,2016,707940,48.5,51.5,5.1,5.7,5.9,6.6,7.6,12.6,11.4,13.2,7.7,6.5,9.4,5.3,3.0,41.2,79.6,75.1,21.4,17.7,47.8,52.2,42.3,57.7,80.9,11.7,0.1,1.9,0.0,0.1,3.1,336217
OH14,2016,722474,48.8,51.2,5.0,6.1,6.7,6.5,5.7,10.1,11.8,15.4,8.0,6.7,10.0,5.4,2.7,43.8,77.9,74.6,21.8,18.1,48.2,51.8,43.9,56.1,89.3,4.0,0.1,2.0,0.0,0.1,2.8,309442
