District,Winner,Winner Spent,Secong-Highest Vote-Getter,Runner-Up Spent,Ratio
CA53,Susan A. Davis,"$541,154 ",Larry Wilske,"$94,098 ",More than 5:1 and Up to 10:1
CA41,Mark A Takano,"$1,312,896 ",Steve Adams,"$230,976 ",More than 5:1 and Up to 10:1
MN04,Betty McCollum,"$740,086 ",Sharna Walhgren,"$130,281 ",More than 5:1 and Up to 10:1
NY20,Paul Tonko,"$871,957 ",Jim Fischer,"$151,979 ",More than 5:1 and Up to 10:1
AZ03,Raul M. Grijalva,"$560,866 ",Gabriela Saucedo Mercer,"$103,441 ",More than 5:1 and Up to 10:1
VA11,Gerry Connolly,"$1,455,122 ",Suzanne Scholte,"$269,141 ",More than 5:1 and Up to 10:1
FL23,Debbie Wasserman Schultz,"$2,744,976 ",Joe Kaufman,"$517,856 ",More than 5:1 and Up to 10:1
CA24,Lois Capps,"$2,493,169 ",Christopher Mitchum,"$477,674 ",More than 5:1 and Up to 10:1
KS03,Kevin Yoder,"$1,971,401 ",Kelly Kultala,"$376,690 ",More than 5:1 and Up to 10:1
KS01,Tim Huelskamp,"$878,253 ",Jim Sherow,"$170,569 ",More than 5:1 and Up to 10:1
OH02,Brad Wenstrup,"$865,102 ",Marek Tyszkiewicz,"$169,158 ",More than 5:1 and Up to 10:1
CA32,Grace Napolitano,"$304,898 ",Art Alas,"$61,035 ",More than 2:1 and Up to 5:1
MI06,Fred Upton,"$3,941,683 ",Paul Colin Clements,"$793,361 ",More than 2:1 and Up to 5:1
PA10,Tom Marino,"$952,467 ",Scott Floyd Brion,"$191,353 ",More than 2:1 and Up to 5:1
TX34,Filemon Vela,"$595,234 ",Larry Smith,"$120,235 ",More than 2:1 and Up to 5:1
PA12,Keith J. Rothfus,"$1,807,453 ",Erin McClelland,"$376,714 ",More than 2:1 and Up to 5:1
FL11,Richard Nugent,"$317,246 ",David Koller,"$67,136 ",More than 2:1 and Up to 5:1
KY03,John A. Yarmuth,"$833,527 ",Michael Macfarlane,"$176,003 ",More than 2:1 and Up to 5:1
WA03,Jaime Herrera Beutler,"$944,900 ",Bob Dingethal,"$202,059 ",More than 2:1 and Up to 5:1
CA27,Judy Chu,"$737,543 ",Jack Orswell,"$159,258 ",More than 2:1 and Up to 5:1
MI03,Justin Amash,"$1,454,133 ",Bob Goodrich,"$317,529 ",More than 2:1 and Up to 5:1
FL05,Corrine Brown,"$607,417 ",Glo Smith,"$134,123 ",More than 2:1 and Up to 5:1
